id,titulo,autores,anio_nacimiento_autor,anio_muerte_autor,materias,estanterias,idiomas,copyright,tipo_medio,descargas
108,The Return of Sherlock Holmes,"Doyle, Arthur Conan",1859.0,1930.0,"Detective and mystery stories, English; Holmes, Sherlock (Fictitious character) -- Fiction; Private investigators -- England -- Fiction","Category: British Literature; Category: Crime, Thrillers and Mystery; Category: Short Stories; Detective Fiction",en,False,Text,59188
33118,Just Around the Corner: Romance en casserole,"Hurst, Fannie",1889.0,1968.0,New York (N.Y.) -- Fiction; Short stories,Category: American Literature; Category: Novels; Category: Romance,en,False,Text,58923
863,The Mysterious Affair at Styles,"Christie, Agatha",1890.0,1976.0,"Belgians -- England -- Fiction; Detective and mystery stories; Poirot, Hercule (Fictitious character) -- Fiction; Private investigators -- England -- Fiction","Category: British Literature; Category: Crime, Thrillers and Mystery; Category: Novels; Detective Fiction",en,False,Text,58910
834,The Memoirs of Sherlock Holmes,"Doyle, Arthur Conan",1859.0,1930.0,"Detective and mystery stories, English; Holmes, Sherlock (Fictitious character) -- Fiction; Private investigators -- England -- Fiction","Category: British Literature; Category: Crime, Thrillers and Mystery; Category: Short Stories; Detective Fiction",en,False,Text,58833
84,"Frankenstein; or, the modern prometheus","Shelley, Mary Wollstonecraft",1797.0,1851.0,"Frankenstein's monster (Fictitious character) -- Fiction; Frankenstein, Victor (Fictitious character) -- Fiction; Gothic fiction; Horror tales; Monsters -- Fiction; Science fiction; Scientists -- Fiction",Category: British Literature; Category: Classics of Literature; Category: Novels; Category: Science-Fiction & Fantasy; Gothic Fiction; Movie Books; Precursors of Science Fiction; Science Fiction by Women,en,False,Text,58824
175,The Phantom of the Opera,"Leroux, Gaston",1868.0,1927.0,Composers -- Fiction; French fiction -- Translations into English; Horror tales; Musical fiction; Opera -- Fiction; Paris (France) -- Fiction; Phantom of the Opera (Fictitious character) -- Fiction,"Category: Crime, Thrillers and Mystery; Category: French Literature; Category: Novels; Gothic Fiction; Movie Books; Opera",en,False,Text,58544
19412,Set in Silver,"Williamson, C. N. (Charles Norris), Williamson, A. M. (Alice Muriel)",1859.0,1920.0,Automobiles -- Fiction; England -- Fiction; Epistolary fiction; Man-woman relationships -- Fiction; Voyages and travels -- Fiction,Category: Adventure; Category: British Literature; Category: Novels; Category: Romance,en,False,Text,58418
19742,The Heather-Moon,"Williamson, C. N. (Charles Norris), Williamson, A. M. (Alice Muriel)",1859.0,1920.0,Great Britain -- Fiction; Man-woman relationships -- Fiction; Young women -- Fiction,Category: Novels; Category: Romance,en,False,Text,58352
583,The Woman in White,"Collins, Wilkie",1824.0,1889.0,Art teachers -- Fiction; Country homes -- Fiction; Deception -- Fiction; England -- Fiction; Gothic fiction; Inheritance and succession -- Fiction; Love stories; Nobility -- Fiction; Psychiatric hospital patients -- Fiction; Psychological fiction,"Category: British Literature; Category: Crime, Thrillers and Mystery; Category: Novels; Mystery Fiction",en,False,Text,58190
1514,A Midsummer Night's Dream,"Shakespeare, William",1564.0,1616.0,Athens (Greece) -- Drama; Comedy plays; Courtship -- Drama; Fairy plays,Category: British Literature; Category: Classics of Literature; Category: Humour; Category: Plays/Films/Dramas; Category: Romance; Category: Science-Fiction & Fantasy,en,False,Text,58165
19146,"The Entailed Hat; Or, Patty Cannon's Times","Townsend, George Alfred",1841.0,1914.0,African Americans -- Crimes against -- Fiction; Eastern Shore (Md. and Va.) -- Social life and customs -- Fiction; Kidnapping -- Fiction,Category: American Literature; Category: Historical Novels; Category: Romance,en,False,Text,58143
27827,"The Kama Sutra of Vatsyayana: Translated From the Sanscrit in Seven Parts With Preface, Introduction and Concluding Remarks",Vatsyayana,,,Love; Sex,"Banned Books from Anne Haight's list; Category: Mythology, Legends & Folklore; Category: Philosophy & Ethics; Category: Sexuality & Erotica; Erotic Fiction; Sociology",en,False,Text,57996
155,The Moonstone,"Collins, Wilkie",1824.0,1889.0,Country homes -- Fiction; East Indians -- England -- Fiction; England -- Fiction; Jewelry theft -- Fiction; Mystery fiction; Police -- England -- Fiction,"Category: British Literature; Category: Crime, Thrillers and Mystery; Category: Novels; Detective Fiction; Mystery Fiction",en,False,Text,57454
69087,The murder of Roger Ackroyd,"Christie, Agatha",1890.0,1976.0,"Belgians -- England -- Fiction; Detective and mystery stories; Murder -- Investigation -- Fiction; Poirot, Hercule (Fictitious character) -- Fiction; Private investigators -- England -- Fiction","Category: British Literature; Category: Crime, Thrillers and Mystery; Category: Novels",en,False,Text,56966
76668,Trial by water,"Wright, Sewell Peaslee",1897.0,1970.0,Canoes and canoeing -- Fiction; Short stories; Spouses -- Fiction; Triangles (Interpersonal relations) -- Fiction,Category: Adventure; Category: American Literature; Category: Romance; Category: Short Stories,en,False,Text,56949
1155,The Secret Adversary,"Christie, Agatha",1890.0,1976.0,"Beresford, Tommy (Fictitious character) -- Fiction; Beresford, Tuppence (Fictitious character) -- Fiction; Detective and mystery stories; Domestic fiction; Married people -- Fiction; Missing persons -- Fiction; Private investigators -- England -- Fiction","Category: Adventure; Category: British Literature; Category: Crime, Thrillers and Mystery; Category: Novels; Detective Fiction",en,False,Text,56794
