key,titulo,autores,cantidad_ediciones,anio_primera_publicacion,materias,tiene_texto_completo,id_internet_archive,id_portada
/works/OL28570037W,The Wind in the Willows,Kenneth Grahame,1346,1908,"Children's fiction; Animals, fiction; Friendship, fiction; England, fiction; Fiction; Animals; Friendship; Juvenile fiction; Toy and movable books; Country life",True,windinwillows00grah2,13335427
/works/OL93082W,La Divina Commedia,Dante Alighieri,1339,1472,Poetry (poetic works by one author); Literatura; Portraits; Paradise; Poetry; Hell; Purgatory; Illustrations; Italian poetry; Medieval Literature,True,commedi03dant,11621024
/works/OL267096W,Анна Каренина,Лев Толстой,1316,1876,Fiction; Adultery; Married women; Social life and customs; Social conditions; Upper class women; Russian literature; Upper class; Classic Literature; Literature,True,harvardclassicsv0000lont,2560652
/works/OL262454W,The Hound of the Baskervilles,Arthur Conan Doyle,1309,1900,"crime novel; English Civil War; mires; tors; tombs; Dogs; England, fiction; Watson, john h. (fictitious character), fiction; British and irish fiction (fictional works by one author); Fiction, mystery & detective, traditional",True,roundofbaskervil0000cona,8063264
/works/OL77746W,Anne of Green Gables,Lucy Maud Montgomery,1299,1908,Fiction; Juvenile fiction; Country life; Friendship; Orphans; Friendship in fiction; Prince Edward Island in fiction; Orphans in fiction; Country life in fiction; Foster home care,True,anneofgreengable0000unse_p0z0,14641084
/works/OL66544W,Persuasion,Jane Austen,1236,1789,"Fiction, Romance, Historical, Regency; Love stories, English; Moški in ženske; V leposlovju; Medosebni odnosi; Družbene razmere; Social life and customs; Rejection (Psychology); Officers; Great Britain. Royal Navy",True,novelsofjaneaust0010unse,12824691
/works/OL166894W,Преступление и наказание,Fyodor Dostoyevsky,1179,1866,English Translations; Russian literature; Novela psicológica; Fiction; Translations into Yiddish; Psychological fiction; German language; Murder; Fiction in Spanish; Mystery fiction,True,crimeandpunishme02554gut,9411873
/works/OL468431W,The Great Gatsby,F. Scott Fitzgerald,1179,1920,"Married people, fiction; American fiction (fictional works by one author); Fiction, psychological; Long island (n.y.), fiction; Fiction; Rich people; Mistresses; Married women; Traffic accidents; First loves",True,in.ernet.dli.2015.184960,10590366
/works/OL1095427W,Jane Eyre,Charlotte Brontë,1170,1847,"Fiction; Romance; Historical""; Man-woman relationships, fiction; Charity schools, fiction; Married people, fiction; Married men; fiction""; Country homes, fiction; Fathers and daughters, fiction",True,janeeyre0000bron_s6p5,8235363
/works/OL52267W,The Time Machine,H. G. Wells,1146,1895,Self-experimentation in medicine in fiction; Fiction; Time travel in fiction; Dystopias in fiction; Literature; Scientists; Classic Literature; Open Library Staff Picks; Scientists in fiction; Space warfare,True,timemachineinven00welluoft,9009316
/works/OL55649W,Walden,Henry David Thoreau,1139,1854,Biography; Homes and haunts; American Authors; Social life and customs; Solitude; Natural history; Wilderness areas; Philosophy; English essays; Wildnerness areas,True,waldenorlifei00thor,11248037
/works/OL1793164W,Three Men in a Boat (to say nothing of the dog),Jerome Klapka Jérôme,1137,1889,Humorous stories; Male friendship; Description and travel; Humor (Fiction); Boats and boating; Fiction; Classic Literature; English Humorous stories; History; General,True,threemeninboat0000jero_m3e9,8243006
/works/OL262421W,The Adventures of Sherlock Holmes [12 stories],Arthur Conan Doyle,1133,1892,Classic Literature; Murder; Mystery; Conclusions; amorality; Anglo-Saxons; Apaces; aristocracy; banks; barques,True,adventureofsherl0000unse,6717853
/works/OL102749W,Moby Dick,Herman Melville,1116,1851,American Sea stories; Mentally ill; Whaling; Science Fiction & Fantasy; Whales; great_books_of_the_western_world; Translations into French; Literature; Captain Ahab (Fictitious character); American Adventure stories,True,lp_moby-dick-or-the-whale-by-herman-melville_herman-melville-louis-zorich,10544254
/works/OL45139W,Moll Flanders,Daniel Defoe,1114,1722,Fiction; Social life and customs; Criminals; English Picaresque literature; English Adventure stories; Women; Children of prisoners; Prostitutes; Repentance; British,True,bwb_W9-ACI-449,12997559
/works/OL66530W,Mansfield Park,Jane Austen,1108,1814,"Love stories, English; Fiction, Romance, Historical, Regency; Social life and customs; Adoptees,  fiction; Poor families, fiction; Uncles,  fiction; Cousins, fiction; English Love stories; Criticism and interpretation; Coming of age, fiction",True,janeausten_mansfieldpark,14618737
/works/OL17448W,King Solomon's Mines,H. Rider Haggard,1105,1876,"Children's fiction; Mines and mineral resources, fiction; Adventure and adventurers, fiction; Large type books; Quatermain, allan (fictitious character), fiction; Fiction, action & adventure; Africa -- Fiction; Missing persons -- Fiction; Adventure stories; Treasure troves -- Fiction",True,kingsolomonsmnes0000hrid,8665393
/works/OL76487W,The Man Who Was Thursday,Gilbert Keith Chesterton,1105,1908,Anarchists; Novela de misterio; Police; Libros en letra grande; Fiction; Novela fantástica; Ficción; Classic Literature; Alegorías; Anarquistas,True,manwhowasthursda0000gilb,8242857
/works/OL36861W,Les Trois Mousquetaires,"Alexandre Dumas, Auguste Maquet",1104,1844,"History; Fiction; Swordsmen; France in fiction; Vietnamese language books; Swordplay; Adventure and adventurers; Spanish language materials; Romans, nouvelles, etc. pour la jeunesse; Histoire",True,cu31924011053737,11929973
/works/OL472715W,The Mysterious Affair at Styles,Agatha Christie,1091,1920,Fiction; Mystery; Crime Fiction; Mystery Thriller; Thriller; Adult; Classic Literature; British Literature; Hercule Poirot (Fictitious Character); Tommy Beresford (Fictitious Character),True,bwb_KT-093-681,13699667
